rank,outreach_score,tier,industry_fit,business,niche,city,phone,email,why_warm,pitch,website,id
1,100,A,high,Consuelo Immigration & Income Tax Services,accountant,Santa Rosa,(707) 578-3200,,No real website; high-fit niche; has phone,"Hi, I came across Consuelo Immigration & Income Tax Services in Santa Rosa and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,4292669f-63db-4aaf-bacb-b2bc94348de2
2,100,A,high,"Patrick F. Fetzer, CPA",accountant,St Helena,(707) 967-9691,,No real website; high-fit niche; has phone,"Hi, I came across Patrick F. Fetzer, CPA in St Helena and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for St Helena businesses and can send a free mockup.",,4b07d29e-7f89-42c5-8267-029b8120f8db
3,100,B,high,Richard Olmsted,accountant,Santa Rosa,(707) 537-0458,ricktax@yahoo.com,DIY site (Blogger) — upsell; high-fit niche; has phone + email,"Hi, I found Richard Olmsted in Santa Rosa and saw the site is on Blogger. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",http://www.rickolmstedcpa.blogspot.com/,b6b8f241-641c-4023-98a6-73146f9deb11
4,100,A,high,Symba Services,accountant,Cotati,(707) 494-1296,,No real website; high-fit niche; has phone,"Hi, I came across Symba Services in Cotati and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Cotati businesses and can send a free mockup.",,e2630814-071b-48e5-acca-d4d984dcc4b7
5,100,A,high,Katherine Pearce LAc,acupuncture,Forestville,(707) 481-1635,,No real website; high-fit niche; has phone,"Hi, I came across Katherine Pearce LAc in Forestville and noticed you don't have a website yet — for a acupuncture, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Forestville businesses and can send a free mockup.",,534af076-ce12-48ca-a9a8-d0d26b11cf60
6,100,A,high,Occidental Healing Arts Center,acupuncture,Occidental,(707) 874-2050,,No real website; high-fit niche; has phone,"Hi, I came across Occidental Healing Arts Center in Occidental and noticed you don't have a website yet — for a acupuncture, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Occidental businesses and can send a free mockup.",,ced60438-d489-44ab-b45f-8b1322fc0672
7,100,A,high,On Point Integrative,acupuncture,Sebastopol,(707) 495-2317,,No real website; high-fit niche; has phone,"Hi, I came across On Point Integrative in Sebastopol and noticed you don't have a website yet — for a acupuncture, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Sebastopol businesses and can send a free mockup.",,ed95b346-ea08-4b2e-ae1a-d68b76ec32ad
8,100,A,high,Bella's,american restaurant,Santa Rosa,(707) 791-3712,,No real website; high-fit niche; has phone,"Hi, I came across Bella's in Santa Rosa and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,615f23c8-e48b-46ab-8aee-02c9aee9a26d
9,100,A,high,Boulevard Kitchen,american restaurant,Petaluma,(707) 765-0116,,No real website; high-fit niche; has phone,"Hi, I came across Boulevard Kitchen in Petaluma and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Petaluma businesses and can send a free mockup.",,f7ad1576-78dc-4c9f-afb0-9ea442176473
10,100,A,high,Carmen's Bistro & Bar,american restaurant,Santa Rosa,(707) 843-5186,,No real website; high-fit niche; has phone,"Hi, I came across Carmen's Bistro & Bar in Santa Rosa and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Santa Rosa businesses and can send a free mockup.",,bba44b3c-2c7f-4ce4-9043-cff64939849b
