rank,outreach_score,tier,industry_fit,business,niche,city,phone,email,why_warm,pitch,website,id
1,100,A,high,Sarah McLean & Co Tax & Accounting Services,accountant,Willits,(707) 841-7235,,No real website; high-fit niche; has phone,"Hi, I came across Sarah McLean & Co Tax & Accounting Services in Willits and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Willits businesses and can send a free mockup.",,7db189cb-6e52-42f2-b321-4b927179ab83
2,100,A,high,Healing House,acupuncture,Lakeport,(415) 264-0685,,No real website; high-fit niche; has phone,"Hi, I came across Healing House in Lakeport and noticed you don't have a website yet — for a acupuncture, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,88698ac2-5fa9-484d-a479-fc7115bf103c
3,100,A,high,Lumberjacks Restaurant,american restaurant,Willits,(707) 456-0300,,No real website; high-fit niche; has phone,"Hi, I came across Lumberjacks Restaurant in Willits and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Willits businesses and can send a free mockup.",http://www.yellowpages.com/willits-ca/mip/lumberjacks-restaurant-461532313,a3a399ef-7ccf-42fa-8c83-047f47e4b3ce
4,100,A,high,The Buckhorn Boonville,american restaurant,Boonville,(707) 895-3224,,No real website; high-fit niche; has phone,"Hi, I came across The Buckhorn Boonville in Boonville and noticed you don't have a website yet — for a american restaurant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Boonville businesses and can send a free mockup.",,00eb5471-2f58-4076-b199-f6694fecb620
5,100,A,high,Elegant Bowl,antique store,Upper Lake,(707) 275-9293,,No real website; high-fit niche; has phone,"Hi, I came across Elegant Bowl in Upper Lake and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Upper Lake businesses and can send a free mockup.",,c0b1994d-48be-4fdf-988d-de6fd0158c2d
6,100,A,high,Flying Antiques,antique store,Nice,(707) 900-8537,flyingantiques@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Flying Antiques in Nice and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Nice businesses and can send a free mockup.",,25c14843-bf5a-418f-9624-698b3c637d0b
7,100,A,high,Last chance,antique store,Upper Lake,(707) 671-2365,,No real website; high-fit niche; has phone,"Hi, I came across Last chance in Upper Lake and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Upper Lake businesses and can send a free mockup.",,c31fa347-68c3-49c9-abc4-e066201994c7
8,100,A,high,Redwood Valley Antiques,antique store,Redwood Valley,(707) 485-1185,,No real website; high-fit niche; has phone,"Hi, I came across Redwood Valley Antiques in Redwood Valley and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Redwood Valley businesses and can send a free mockup.",,aec6eb98-43f7-4d47-ad74-85ed65b00bea
9,100,A,high,Rosalina Books And Antiques,antique store,Willits,(707) 357-3104,egallery@mcn.org,No real website; high-fit niche; has phone + email,"Hi, I came across Rosalina Books And Antiques in Willits and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Willits businesses and can send a free mockup.",,c8ef594b-79e9-4820-a84a-e710daf5d1fa
10,100,A,high,The Hidden Gem,antique store,Lakeport,(707) 263-3400,,No real website; high-fit niche; has phone,"Hi, I came across The Hidden Gem in Lakeport and noticed you don't have a website yet — for a antique store, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Lakeport businesses and can send a free mockup.",,c68e53c2-ab60-49e1-b0d1-7db5d83321cc
