rank,outreach_score,tier,industry_fit,business,niche,city,phone,email,why_warm,pitch,website,id
1,100,A,high,AAU Tax Preparation Service,accountant,Vallejo,(707) 643-4112,aau123@hotmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across AAU Tax Preparation Service in Vallejo and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Vallejo businesses and can send a free mockup.",,7b6de4f3-073c-4fb4-ba7d-b8934311abf9
2,100,A,high,Doud Bookkeeping & Tax Service,accountant,Napa,(707) 255-9144,doudbkpg@aol.com,No real website; high-fit niche; has phone + email,"Hi, I came across Doud Bookkeeping & Tax Service in Napa and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",,989637ad-6f2e-45a7-a6da-cf083fa8e4be
3,100,B,high,Hernandez Bookkeeping and Income Tax Services LLC,accountant,Napa,(707) 265-8173,lillyhn9@gmail.com,DIY site (Google Business) — upsell; high-fit niche; has phone + email,"Hi, I found Hernandez Bookkeeping and Income Tax Services LLC in Napa and saw the site is on Google Business. I can give you a faster, more professional custom site that ranks better on Google — worth a quick look at a free mockup?",http://liliahernandezbookkeepining.business.site/,28a7771c-6302-4eb3-b76e-a1b978f917d1
4,100,A,high,Lara's Income Tax,accountant,American Canyon,(707) 305-8764,emiliolara5@outlook.com,No real website; high-fit niche; has phone + email,"Hi, I came across Lara's Income Tax in American Canyon and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for American Canyon businesses and can send a free mockup.",,5bf9ffc1-128a-48d4-8e30-dc919661055c
5,100,A,high,"Layman's Tax Service, Inc.",accountant,Napa,(510) 758-8299,laymanstax@yahoo.com,No real website; high-fit niche; has phone + email,"Hi, I came across Layman's Tax Service, Inc. in Napa and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",http://www.twitter.com/Laymans_Tax,198eee55-a76f-410a-9427-35c7b3360b81
6,100,A,high,Michael Pettersen Bookkeeping & Tax,accountant,Fairfield,(707) 422-9744,michaelpettersenea@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Michael Pettersen Bookkeeping & Tax in Fairfield and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",,2a6d1c1c-4d6a-4ebf-b027-16f9d5e43ca2
7,100,A,high,TaxAce Academy,accountant,Fairfield,(707) 557-1040,nataly@taxaceacademy.com,No real website; high-fit niche; has phone + email,"Hi, I came across TaxAce Academy in Fairfield and noticed you don't have a website yet — for a accountant, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Fairfield businesses and can send a free mockup.",,02e37c3a-a2bc-4a6c-927b-b00787ddb109
8,100,A,high,Robert C. Wright,acupuncture,Napa,(707) 255-5124,,No real website; high-fit niche; has phone,"Hi, I came across Robert C. Wright in Napa and noticed you don't have a website yet — for a acupuncture, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",,7d34cc61-61c2-4f40-8f99-cf47d427219a
9,100,A,high,The Wellness Principle,acupuncture,Napa,(707) 418-0010,,No real website; high-fit niche; has phone,"Hi, I came across The Wellness Principle in Napa and noticed you don't have a website yet — for a acupuncture, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Napa businesses and can send a free mockup.",,e722dfe1-e4e3-4279-ad69-3d8595d67726
10,100,A,high,Winters Acupuncture Clinic,acupuncture,Winters,(530) 795-3429,kristinlakoma@gmail.com,No real website; high-fit niche; has phone + email,"Hi, I came across Winters Acupuncture Clinic in Winters and noticed you don't have a website yet — for a acupuncture, that's a lot of locals searching Google and not finding you. I build fast, modern sites for Winters businesses and can send a free mockup.",,601c745d-4a9f-41fa-9965-e172b8b66b90
